1981-2010 Mean,Mean DBO 1,Sample SD DBO 1,Mean DBO 2,Sample SD DBO 2,Mean DBO 3,Sample SD DBO 3,Mean DBO 4,Sample SD DBO 4,Mean DBO 5,Sample SD DBO 5,Mean DBO6,Sample SD DBO 6,Mean DBO 7,Sample SD DBO 7,Mean DBO 8 ,Sample SD DBO 8 
11-Apr,94.48487,3.358802,95.00178,1.304168,98.93828,0.280922,98.84747,0.250864,98.61958,0.409473,99.13228,0.321769,99.52267,0.255639,98.95556,0.342282
12-Apr,93.59436,3.842138,94.46111,1.485203,99.06571,0.363707,98.9244,0.265277,98.33958,0.595017,99.1807,0.218566,99.7215,0.206641,99.11352,0.272151
13-Apr,93.50769,3.873898,94.28511,1.841959,98.82636,0.401138,99.01427,0.379908,98.05542,0.614858,99.11614,0.300134,99.53483,0.191276,99.0937,0.318842
14-Apr,91.6559,4.449216,94.17511,2.071995,98.63288,0.502022,99.0012,0.372446,98.265,0.396116,99.21807,0.246279,99.45433,0.269623,98.80926,0.285058
15-Apr,90.40462,4.767905,93.17156,2.147427,98.42934,0.59386,98.9024,0.357539,98.64,0.304855,99.16386,0.224989,99.42617,0.326892,98.25796,0.454782
16-Apr,89.0079,5.205566,92.984,2.097619,98.52162,0.55591,98.95253,0.24977,98.68375,0.184859,99.03263,0.281389,99.34383,0.234144,98.33667,0.486321
17-Apr,89.42451,4.735433,92.536,2.001451,98.45359,0.512978,98.94587,0.27496,98.16542,0.443547,99.02053,0.37106,99.28667,0.209628,97.94759,0.62047
18-Apr,88.15149,4.807888,92.388,2.32591,98.62556,0.509092,99.16107,0.306152,97.96542,0.691341,98.72912,0.442866,99.2905,0.245247,97.51074,0.700911
19-Apr,88.19441,4.75271,92.25156,2.282705,98.77177,0.412962,98.9524,0.617467,97.39209,0.710571,98.82017,0.417006,99.07,0.274883,97.635,0.681347
20-Apr,87.46139,5.478575,91.93245,2.345958,98.81465,0.433171,98.90147,0.637584,97.76667,0.605918,98.81018,0.42607,99.19483,0.282632,97.06778,0.800891
21-Apr,87.1879,5.499056,92.42333,2.098135,99.03182,0.383273,99.10427,0.590167,98.18542,0.673088,98.99807,0.275224,99.46933,0.235792,96.91241,0.70202
22-Apr,85.37718,6.646266,92.46578,2.335274,99.1097,0.354936,99.0132,0.650827,98.23375,0.676203,99.24807,0.25064,99.60317,0.236902,97.21278,0.616294
23-Apr,83.49108,7.991793,91.30711,2.484097,98.98874,0.493804,98.82373,0.784697,98.2075,0.533456,99.39912,0.20871,99.60117,0.128265,96.96537,0.674431
